Institution name	Display	Institution sort order
"University of Wales, Lampeter"	Trinity St David	141.5
University of Wales Trinity Saint David	Trinity St David	141.5
University College London	UCL	142
University of East Anglia	UEA	143
University of East London	UEL	144
UHI Millennium Institute	UHI Millennium Institute	145
University of Ulster	Ulster	146
University for the Creative Arts	University for the Creative Arts	147
University of the Arts London	University of the Arts	148
"University of the Arts, London"	University of the Arts	148
University of Wales	University of Wales	148.5
"University of Wales Institute, Cardiff"	Cardiff Met	149
Cardiff Metropolitan University	Cardiff Met	149
"University of the West of England, Bristol"	UWE	150
University of Wales Centre for Advanced Welsh and Celtic Studies	"Wales, CAWCS"	151
University of Warwick	Warwick	152
The University of West London	University of West London	152.5
University of the West of Scotland	West of Scotland	153
University of Westminster	Westminster	154
University of Winchester	Winchester	155
University of Wolverhampton	Wolverhampton	156
University of Worcester	Worcester	157
Writtle College	Writtle College	157.5
University of York	York	158
York St John University	York St John	159
